fit_group,bcut_deg,N,ess,variables,a0,amp,l_deg,b_deg,formal_snr,rms_resid,amp_ratio_vs_baseline_same_bcut,direction_sep_vs_baseline_same_bcut_deg,propensity_min,propensity_p01,propensity_p50,propensity_p99,propensity_max,weight_min,weight_p99,weight_max
baseline_unweighted,10.0,192357,192357.0,,1.2065939845584015,0.002462554430840075,144.89631609370707,-38.13748959283713,4.198729953761553,0.14612059259928803,1.0,0.0,,,,,,,,
baseline_unweighted,15.0,183527,183527.0,,1.2068648164422267,0.002548691334886179,138.99062177868373,-36.60410263516501,4.235313002905859,0.14615255334493482,1.0,0.0,,,,,,,,
baseline_unweighted,20.0,169941,169941.0,,1.2070158632406227,0.002603116228521061,139.59239537847753,-37.760148733126734,4.204760886194077,0.14617147839162764,1.0,0.0,,,,,,,,
baseline_unweighted,25.0,153651,153651.0,,1.2071072324837666,0.0031974930004866884,145.5236071398047,-33.945630563298295,4.768188414689513,0.1461562785554472,1.0,0.0,,,,,,,,
baseline_unweighted,30.0,136052,136052.0,,1.2071677474156155,0.0032443445438378083,139.38458928682857,-32.4305773058285,4.4856179912548315,0.14614884315333537,1.0,0.0,,,,,,,,
baseline_unweighted,35.0,118193,118193.0,,1.2070139975891185,0.004064814465559679,145.8499241032721,-25.377758637650363,4.785199523525018,0.1460604605702116,1.0,0.0,,,,,,,,
zerr_only,10.0,192357,192345.20832497522,zerr,1.2065938958089326,0.002483945459528402,145.13543225212132,-38.128954764965634,4.234300641884884,0.14612607067917863,1.0086865201517716,0.1882767910726151,0.43084852660763223,0.4922804975361252,0.49651534957877247,0.49812775666226805,0.49813059823670447,0.8617498727724392,1.0112090716279258,1.1373256383570423
zerr_only,15.0,183527,183512.47579325482,zerr,1.2068640057957682,0.0025753970556221216,139.2647874571122,-36.49726447216603,4.2761468709632435,0.1461593429269885,1.0104782090990767,0.24479063342772672,0.43625876325721075,0.4908952566461668,0.4960071122479627,0.4969139992480381,0.49691550313203514,0.8725865876558974,1.0142433445586478,1.126653408427528
zerr_only,20.0,169941,169927.39294649364,zerr,1.207016129819094,0.0026343417063600704,140.08568984045414,-37.64059983365029,4.250572434245969,0.14617836937946557,1.01199542206256,0.4082019285457945,0.4350085425567368,0.49016807859571887,0.4960977452048984,0.4967725794319361,0.4967737741652077,0.8700868206725878,1.0154808454843187,1.1291542852308003
zerr_only,25.0,153651,153639.01291656055,zerr,1.2071065659744404,0.0032309695786836043,145.78851961655698,-33.70887380916756,4.807887342257625,0.14616258502413604,1.010469632988038,0.32323909377741206,0.4007823886436474,0.4914845650873291,0.49632155295701996,0.4994006226964147,0.4994055906030504,0.8016276216097026,1.0112576260763961,1.1969879499574447
zerr_only,30.0,136052,136039.15815772195,zerr,1.2071633214112292,0.003283166531901176,139.7679615403476,-32.08272011844957,4.522518835694252,0.1461579790146,1.011966049702429,0.4755129656499691,0.3890309926195187,0.49106329908670915,0.49598365085415275,0.4997362591690217,0.49974247020440293,0.7781355535428744,1.0122161893690764,1.220324920966532
zerr_only,35.0,118193,118186.49807087993,zerr,1.2070085559976536,0.004095217392635055,146.09124195080847,-25.254684745499965,4.8135012566904,0.14606662040136423,1.0074795362329505,0.250465751360999,0.4079148919240259,0.4925498424913296,0.49710201948933763,0.49993663128679977,0.4999409670235319,0.8158749816088601,1.0094441771814993,1.1771465613714682
gaia_g_only,10.0,192357,192347.51204354086,g,1.2065934315695148,0.0024586311183025567,145.16566906843337,-38.207111806554884,4.1928224997938806,0.14612549441825876,0.998406811850173,0.22290514894773086,0.49357706950875324,0.4950655620930683,0.4966353613019593,0.4970526162564074,0.49705927092712043,0.987202830775427,1.0094741142982588,1.012494329713143
gaia_g_only,15.0,183527,183514.51873193038,g,1.2068630836622434,0.002548827560781748,139.30249234563675,-36.58286393237519,4.234083765781668,0.14615869468869488,1.0000534493501445,0.2512952982158008,0.4950924015043884,0.49548023747423,0.49591056430625013,0.49602758403411473,0.49602945449556474,0.9902520839490992,1.008987430793214,1.0097811440860534
gaia_g_only,20.0,169941,169929.4995839957,g,1.2070152289129439,0.0026045529885578406,140.11281901363074,-37.694191613131174,4.20405977687137,0.1461774295053847,1.0005519384885846,0.41687079332473914,0.4944097052178117,0.49515046899351045,0.4959535081539572,0.4961680417614814,0.49617146047000077,0.9888863131811461,1.0095437452792475,1.0110495077575852
gaia_g_only,25.0,153651,153643.26973193424,g,1.2071054296814707,0.003205757591458099,145.8824256143283,-33.832056575033604,4.775296624952969,0.14616117686756958,1.0025847096366287,0.31878061921598355,0.49645192757948914,0.4964519281324513,0.49645313652517203,0.49646078997790616,0.49649895081867484,0.9929537974978242,1.0071467964357854,1.0071468010416746
gaia_g_only,30.0,136052,136044.08797160847,g,1.207164028394074,0.0032506917971380136,139.7822146454419,-32.241744231636645,4.485132812096952,0.14615475848202705,1.001956405435502,0.3853945582489106,0.4938155904038558,0.4950112209249196,0.4963023474993367,0.49664604781600036,0.49665156169120994,0.9876886140698733,1.009679857880481,1.0121028395954046
gaia_g_only,35.0,118193,118189.27284123849,g,1.2070134140680706,0.004063895521166569,146.10187753548738,-25.30230436156426,4.779492845520536,0.14606370199853144,0.9997739271002658,0.23988707512885557,0.4933179922554065,0.49529563998171716,0.49742033651999595,0.49798498190120183,0.49799419186281413,0.9866670997026835,1.008860644115955,1.012855525575167
gaia_bp_rp_only,10.0,192357,192283.01325035322,bp_rp,1.2065989603283456,0.0015981881661392202,145.22144184872965,-30.09675866071165,2.612191020514755,0.14615638870254102,0.6489960774568604,8.045217398940698,0.3416547235059639,0.46613798012323204,0.49898298263635,0.5053296807015157,0.5053332442423172,0.6868442586492257,1.0542277884646125,1.3171945567395003
gaia_bp_rp_only,15.0,183527,183441.63479456113,bp_rp,1.2068719760624267,0.0015479653053844346,140.50485282535286,-28.776053728936795,2.4555631289653013,0.1461937664306954,0.6073569145843879,7.930745357566208,0.339991544177017,0.46332197763591726,0.49835951074350743,0.506013295576836,0.5060190124488319,0.6836539332328959,1.0593372554689977,1.320627536329519
gaia_bp_rp_only,20.0,169941,169835.6467264603,bp_rp,1.2070268205967165,0.0014653723840619096,142.04129951760905,-26.99083468493218,2.1930671641354573,0.14622479367147012,0.5629300635932222,10.96484008579751,0.3110178453535016,0.4574504527922842,0.4988147621398462,0.5078620777625497,0.5078689513118599,0.6262551888787038,1.0681624064715824,1.3788172282184163
gaia_bp_rp_only,25.0,153651,153584.53732428866,bp_rp,1.207109322613488,0.002169182854334294,145.93020235460477,-29.4562782943715,3.1115192230651054,0.14619904527274732,0.678401126759034,4.502646042851865,0.34800906552355604,0.46496515930538174,0.49872440343479413,0.5068244870170374,0.506831344384367,0.6995567009822742,1.0564763508302941,1.3045448285555084
gaia_bp_rp_only,30.0,136052,135971.8963177154,bp_rp,1.2071720297286836,0.0019121759663221312,140.68857304860413,-27.527249226657947,2.511843820984257,0.14620615028278947,0.5893874526841021,5.031588020281333,0.35344925188891957,0.46049349929668326,0.49834683286593884,0.509783594286691,0.5097968799308569,0.7101084513407684,1.0650048473281932,1.2938579495240614
gaia_bp_rp_only,35.0,118193,118140.33572573386,bp_rp,1.207012023635686,0.002661898034884609,146.0302439254342,-24.355535204754432,3.0928427764568442,0.14611245414579732,0.6548633541428059,1.035231978632356,0.3963185738752317,0.46709996748198795,0.4988239204988593,0.5108263618006854,0.5108467574544338,0.7955945037715775,1.0549921978245944,1.2079023630002659
gaia_g_plus_bp_rp,10.0,192357,192283.0919011731,"g,bp_rp",1.2065986262341917,0.0016047715818551277,145.26062404457284,-30.212865982382723,2.6243918200592473,0.14615628984840057,0.6516694866751337,7.930331405327555,0.33642290806831154,0.46602544436048854,0.49890897429239317,0.5062087838506154,0.5064785503677977,0.6731044600921264,1.0542466575388592,1.3117688180504055
gaia_g_plus_bp_rp,15.0,183527,183442.40131652914,"g,bp_rp",1.2068718099378568,0.0015575633134798067,140.48840801445752,-28.941461888091013,2.473075587592242,0.14619329153040117,0.6111227719732351,7.765098337112096,0.33627934489412536,0.46327077236785286,0.4983617237343,0.5065422426560764,0.5067760125229953,0.6728687443229473,1.0593197968473083,1.3133147499764197
gaia_g_plus_bp_rp,20.0,169941,169836.33561287314,"g,bp_rp",1.207026331894208,0.0014771210725085637,142.03129297922638,-27.214102068601147,2.2139174393595673,0.14622434066590473,0.5674433804854645,10.743585060294551,0.30626694522200854,0.4572697782846539,0.49876078214811415,0.5085225169993306,0.5088188574914039,0.6129113609549144,1.0681703882951565,1.3714263132414084
gaia_g_plus_bp_rp,25.0,153651,153584.83570813626,"g,bp_rp",1.2071090642710762,0.002180058320754211,145.9235621456657,-29.524612214814912,3.1289270741250776,0.14619868520701138,0.6818023746799088,4.4340711264037695,0.3443667926500383,0.4646846852269815,0.4987340776448694,0.507141197308024,0.5073491390521392,0.6890302164177209,1.0566742223540264,1.2984038758753644
gaia_g_plus_bp_rp,30.0,136052,135972.8896438627,"g,bp_rp",1.2071715752162586,0.0019264786898725858,140.667195186483,-27.621595482524597,2.5330752606517377,0.14620538829851915,0.5937959621248213,4.93538275817222,0.34920558804448176,0.4604825219888685,0.4983753760654771,0.5104856855548461,0.5108665965890865,0.6988176114577942,1.0648027817229853,1.2857817918442314
gaia_g_plus_bp_rp,35.0,118193,118139.68692787412,"g,bp_rp",1.2070115417522633,0.0026620832705336423,146.0673442566842,-24.373624549214462,3.0937080900201126,0.14611277176169224,0.6549089246480783,1.023323301573338,0.3892407156518305,0.46674727836129065,0.49878026090228683,0.511545157773406,0.5120230630216632,0.7788322778233704,1.0554362554654733,1.206465538364534
wise_w1_only,10.0,192357,192344.26379146182,w1,1.2065916453225898,0.0021813559683289364,145.15759183156968,-37.802720200112915,3.7119825366232306,0.1461275739638334,0.8858102549980141,0.39305806093920254,0.48217564326391354,0.49039110476425585,0.49674747370032835,0.5005217511877073,0.5026860869253426,0.9644151438772205,1.0173571683395095,1.0346909626347895
wise_w1_only,15.0,183527,183514.2748191361,w1,1.206862869267327,0.0024669264450478414,139.3099271978189,-36.47912049561281,4.095503713753999,0.1461591531184736,0.9679188732196992,0.2853630529673763,0.49164628148409445,0.49406985456639574,0.4959513627149892,0.49706296996363847,0.4976980613245034,0.9833607447771467,1.0113557882335413,1.0164759315938106
wise_w1_only,20.0,169941,169929.16585812575,w1,1.2070149488890378,0.0025087946761651347,140.14249371942816,-37.52142082191227,4.044501769467126,0.14617794937641457,0.9637659082132056,0.49672476350332406,0.49078849445516703,0.493708553722183,0.49597893467504595,0.49731336207745,0.4980706292721095,0.9816453464060324,1.01196645015603,1.0181307299054962
wise_w1_only,25.0,153651,153642.93241856093,w1,1.207105205759829,0.0031046443630319055,145.8900157607258,-33.71874778671951,4.6201846278135505,0.1461617407050303,0.9709620513819263,0.3796230433028048,0.49134181463680987,0.49426747275915905,0.4965395332980235,0.4978757338922639,0.498629896569621,0.9827352282871324,1.0108548520517155,1.0170081021585125
wise_w1_only,30.0,136052,136044.17151866131,w1,1.2071642346315752,0.0032547648330970686,139.77435499296803,-32.243248134941595,4.490834922754205,0.14615464119972202,1.003211831887292,0.3788712642312121,0.496206838760735,0.496206838844631,0.4962070495819045,0.4962092157937327,0.4962220781789939,0.9924707844444582,1.0076443017671,1.0076443024881017
wise_w1_only,35.0,118193,118189.1447670949,w1,1.2070133096020854,0.003947511016052162,146.11729742749816,-25.289041122017537,4.641870608642972,0.14606416760145824,0.9711417457053932,0.25743106360817064,0.4918204242088996,0.4948939205544401,0.4973559021392471,0.4987961176698231,0.49959308017837945,0.9836729334503036,1.0095177846704058,1.0160535054076643
wise_w2_only,10.0,192357,192347.1572318351,w2,1.2065929786021352,0.0023917294449173694,145.16780762913154,-38.127606252879374,4.077009889852472,0.14612587967408996,0.9712392201221135,0.2137795060169754,0.49176892682671136,0.4941653621999536,0.49661514326638473,0.4980978968782256,0.49882544599462275,0.9835881822227776,1.0110135258986743,1.0163278490068366
wise_w2_only,15.0,183527,183514.2883946333,w2,1.2068635304553308,0.002602609792623936,139.29893850525647,-36.64310484144282,4.324958015344509,0.1461585633962637,1.0211553501986403,0.2505010724661632,0.49419079617791734,0.4947222125990017,0.4958112018680887,0.4976238335550613,0.4994066453036416,0.9885284302733349,1.0103914112765318,1.011688478860076
wise_w2_only,20.0,169941,169929.42120088649,w2,1.2070158503666306,0.0026435311710641006,140.09619059747476,-37.75186520592846,4.268734768616358,0.14617731031606954,1.0155256004707869,0.39839893130932336,0.49470171673161173,0.4950748088907788,0.4958436783037436,0.4971348454818376,0.4984100878484811,0.9895262948644528,1.009755873986953,1.010665425560882
wise_w2_only,25.0,153651,153643.27242648692,w2,1.207105429574664,0.0032057473356310365,145.88236751130103,-33.832039831920625,4.775280800765058,0.14616117536661147,1.0025815021778286,0.31874154589597437,0.4964534009589201,0.4964534010776575,0.49645373323942654,0.4964589636077398,0.4964792723546711,0.9929567149274691,1.0071438232299412,1.007143824235989
wise_w2_only,30.0,136052,136043.7781240839,w2,1.2071648512919486,0.003329380418869854,139.72673500310654,-32.320718178287976,4.597468089764709,0.146154493025995,1.0262104945646293,0.3091397815458321,0.49387605181845673,0.49459900308287735,0.4961027872568441,0.49865356257882737,0.5010708802386814,0.9879211511417302,1.0105494366296734,1.0123090712871579
wise_w2_only,35.0,118193,118189.68169901642,w2,1.207013216918597,0.004073524232781845,146.0767696515419,-25.297371927539587,4.79055176296652,0.14606341996428598,1.0021427219608574,0.22021951777187912,0.49730371250876587,0.4973180325842687,0.4973484731904734,0.4974018347987112,0.49745452237287285,0.9946399387320118,1.0053868495673366,1.0054217375702825
wise_w1_w2_only,10.0,192357,192328.40641139584,w1_w2,1.206598741894915,0.0018299548248585634,144.68353983322635,-36.173106725083365,3.087864792099577,0.14613304975073532,0.7431124372078521,1.9716872858227683,0.44104703099262765,0.47834812515557995,0.49805191722819675,0.5009469334511754,0.5009492909495367,0.8842461895620989,1.03531052174624,1.1180716284906802
wise_w1_w2_only,15.0,183527,183491.7402988057,w1_w2,1.206871888921548,0.0018866138665420364,139.35298602625468,-34.45797878263174,3.0946856543253887,0.14616807715590263,0.7402284618456121,2.1662832789382143,0.42843584696972176,0.4747192513993127,0.4978597774040529,0.5001299524437879,0.5001308074236811,0.8589098272207204,1.0406128397503278,1.1433478112532354
wise_w1_w2_only,20.0,169941,169912.068003,w1_w2,1.2070261075961126,0.001982636947485867,140.19971299670004,-35.46201343817946,3.1497317527283193,0.1461848852225541,0.7616398091499302,2.349253485542626,0.4394865837746833,0.47733553947698315,0.4974802416978342,0.5002679180621734,0.5002698954984518,0.8806449803508598,1.036928605574993,1.1212171120062082
wise_w1_w2_only,25.0,153651,153630.65167532073,w1_w2,1.2071131327549407,0.0028041425652774628,145.49971393333533,-32.67667973106352,4.136103270876799,0.14616670099722798,0.8769816117973194,1.269107907471624,0.40937137140026614,0.4780584887304937,0.49807145935349273,0.4991463933997724,0.49914676075755765,0.8188500837179957,1.0339459906270525,1.1365081085108661
wise_w1_w2_only,30.0,136052,136034.80288841575,w1_w2,1.2071722419556024,0.002770580383385953,139.4122818084805,-31.136486409945313,3.7795919051677815,0.1461617210830017,0.8539723034806196,1.2943049568641203,0.44507091559116896,0.48022762404618907,0.4977143550424138,0.4992202236429076,0.49922079062553665,0.8917038367339103,1.0317995704230183,1.1099982205572765
wise_w1_w2_only,35.0,118193,118183.36916909638,w1_w2,1.207019381375196,0.003583730139824878,145.74859293737333,-25.01744803312934,4.20009773293403,0.14606832397326594,0.8816466705157325,0.3717936997357603,0.4543711371921252,0.483663030627433,0.4985072496743295,0.49998268637240695,0.49998322588200705,0.9100199500024946,1.0263342889683074,1.0913463435043336
wise_w1_plus_w2,10.0,192357,192324.88122080936,"w1,w2",1.2065910316177875,0.0013012931941439165,144.6638013530026,-34.95493827666811,2.1818266820437278,0.14613618844429066,0.528432256297374,3.188024812125233,0.4559614799010456,0.4830796385103325,0.4966615168873564,0.5089108060454155,0.5383168551712073,0.9180608267349024,1.0301971785767159,1.0882580422371797
wise_w1_plus_w2,15.0,183527,183496.17055518125,"w1,w2",1.2068655447139547,0.0015945520339823045,139.49281601653934,-34.51233744991059,2.616240387632753,0.14616888387783125,0.6256356005751929,2.1312778780613484,0.4642997370531447,0.48291877667696637,0.4961256920606357,0.5068504310841683,0.5349107733076102,0.9335414699091699,1.0302791283032313,1.0715801637949993
wise_w1_plus_w2,20.0,169941,169913.70763345764,"w1,w2",1.2070197875253879,0.0016875752301678095,140.27327304338397,-34.960986008811346,2.671427738255588,0.1461863638584121,0.6482903881424424,2.852332358546189,0.46479760640691464,0.48341790511304045,0.49612638298043055,0.5064945861990099,0.5336573716721714,0.9349115783670773,1.0293797132618114,1.0705762151912255
wise_w1_plus_w2,25.0,153651,153636.00998036773,"w1,w2",1.2071067004292564,0.0025169132100233632,145.57447701609613,-32.798858296712694,3.716226226069576,0.1461673264763334,0.7871520624565137,1.1475588121277145,0.4737893069023583,0.4878063684214987,0.4965155198620662,0.5038241797383347,0.5226468932348026,0.9521662568575392,1.021789096285724,1.0525223808038016
wise_w1_plus_w2,30.0,136052,136036.9673343715,"w1,w2",1.2071676655944947,0.002623802456325238,139.41306548182737,-31.230180233514577,3.582773100382798,0.14616263864769868,0.8087311384078472,1.200640838308864,0.47652320851150476,0.4867638410264258,0.49636773769018694,0.5037339062488604,0.5234803211100324,0.9536270747327256,1.0235632163486583,1.0470745572121833
