scenario,frontier_rank,point_id,family,eta_fac,clock_factor,delta_neff_initial,tau_n_fac,q_pull_chi2,D_H_1e5,Yp_mass,Li7_H_1e10,z_D_H_1e5,z_Yp_mass,z_Li7_H_1e10,chi2_D_He,max_abs_z_D_He,li_depletion_to_centre,li_suppression_to_2sigma_upper
su2_plus_modest_rate_controls,1,random_targeted_li_be|eta0.986978|S1.015465|tau0.9994586|Be7nLi7p-0.81_He3aBe7g+0.86_Li7paa-1.10,random_targeted_li_be,0.9869781339088444,1.0154651906166414,0.1914701134608501,0.9994586314958328,2.5897498409824493,2.5031880834977613,0.2474429331312589,5.698541856390292,-0.1659281552496092,0.8143110437529669,16.994167425561166,0.6906346286825849,0.8143110437529669,3.9300288664760634,2.9223291571232264
su2_plus_modest_rate_controls,2,random_targeted_li_be|eta0.987101|S1.016607|tau0.9998177|He3aBe7g+1.15,random_targeted_li_be,0.9871011153621404,1.0166070171185415,0.2057232245643344,0.9998176788574652,1.3325965499702266,2.5040127640362906,0.2475260301087885,5.663954488748511,-0.13749089530032493,0.8420100362628302,16.855817954994045,0.7278846474578176,0.8420100362628302,3.906175509481732,2.9045920455120573
su2_plus_modest_rate_controls,3,random_targeted_li_be|eta0.987019|S1.005115|tau0.9990344|He3aBe7g+0.42_Li7paa+0.57,random_targeted_li_be,0.9870187212702186,1.0051150835015128,0.0630031766481255,0.999034399607607,0.5028328541413445,2.491052596415403,0.2469139874303409,5.582026412233136,-0.5843932270550655,0.6379958101136359,16.52810564893254,0.7485540975503879,0.6379958101136359,3.84967338774699,2.862577647299044
su2_plus_modest_rate_controls,4,random_targeted_li_be|eta0.988010|S1.015591|tau0.9996424|Be7nLi7p-1.80_He3aBe7g-1.73_Li7paa-0.96,random_targeted_li_be,0.9880095614140167,1.015591092365535,0.1930409251950679,0.99964243586692,7.143472704531163,2.498963390994366,0.2474657553384257,5.451982653891018,-0.3116072070908264,0.821918446141906,16.00793061556407,0.7726489836192705,0.821918446141906,3.7599880371662193,2.7958885404569322
su2_plus_modest_rate_controls,5,random_targeted_li_be|eta0.987591|S1.009926|tau0.9999536|He3aBe7g-1.35_Li7paa+0.93,random_targeted_li_be,0.9875907610933126,1.0099258617092075,0.1225515120586665,0.999953598380984,2.6842562474645035,2.494446871075348,0.2472540200467095,5.357034228387387,-0.46734927326386944,0.751340015569831,15.628136913549547,0.7829271622167407,0.751340015569831,3.6945063644050946,2.74719704019866
su2_plus_modest_rate_controls,6,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34,random_targeted_li_be,0.9877138698627574,1.022083073063074,0.2743019649154951,0.9991897898934916,7.676472137796886,2.507126497955734,0.2476600866709389,5.122271580059807,-0.03012076014710556,0.8866955569796312,14.689086320239227,0.7871362709592579,0.8866955569796312,3.532601089696419,2.626805938492209
su2_plus_modest_rate_controls,7,random_targeted_li_be|eta0.988909|S1.062648|tau1.0002284|Be7nLi7p+0.71_He3aBe7g-2.45,random_targeted_li_be,0.9889085458421792,1.0626477474919953,0.7937814451059851,1.000228394865718,6.49092918865251,2.54839762674808,0.2496370109582254,5.112978223610318,1.3930216120027625,1.5456703194084709,14.65191289444127,4.329605947807059,1.5456703194084709,3.5261918783519435,2.622040114671958
su2_plus_scanned_rate_controls,1,random_targeted_li_be|eta0.986978|S1.015465|tau0.9994586|Be7nLi7p-0.81_He3aBe7g+0.86_Li7paa-1.10,random_targeted_li_be,0.9869781339088444,1.0154651906166414,0.1914701134608501,0.9994586314958328,2.5897498409824493,2.5031880834977613,0.2474429331312589,5.698541856390292,-0.1659281552496092,0.8143110437529669,16.994167425561166,0.6906346286825849,0.8143110437529669,3.9300288664760634,2.9223291571232264
su2_plus_scanned_rate_controls,2,random_targeted_li_be|eta0.987101|S1.016607|tau0.9998177|He3aBe7g+1.15,random_targeted_li_be,0.9871011153621404,1.0166070171185415,0.2057232245643344,0.9998176788574652,1.3325965499702266,2.5040127640362906,0.2475260301087885,5.663954488748511,-0.13749089530032493,0.8420100362628302,16.855817954994045,0.7278846474578176,0.8420100362628302,3.906175509481732,2.9045920455120573
su2_plus_scanned_rate_controls,3,random_targeted_li_be|eta0.987019|S1.005115|tau0.9990344|He3aBe7g+0.42_Li7paa+0.57,random_targeted_li_be,0.9870187212702186,1.0051150835015128,0.0630031766481255,0.999034399607607,0.5028328541413445,2.491052596415403,0.2469139874303409,5.582026412233136,-0.5843932270550655,0.6379958101136359,16.52810564893254,0.7485540975503879,0.6379958101136359,3.84967338774699,2.862577647299044
su2_plus_scanned_rate_controls,4,random_targeted_li_be|eta0.988010|S1.015591|tau0.9996424|Be7nLi7p-1.80_He3aBe7g-1.73_Li7paa-0.96,random_targeted_li_be,0.9880095614140167,1.015591092365535,0.1930409251950679,0.99964243586692,7.143472704531163,2.498963390994366,0.2474657553384257,5.451982653891018,-0.3116072070908264,0.821918446141906,16.00793061556407,0.7726489836192705,0.821918446141906,3.7599880371662193,2.7958885404569322
su2_plus_scanned_rate_controls,5,random_targeted_li_be|eta0.987591|S1.009926|tau0.9999536|He3aBe7g-1.35_Li7paa+0.93,random_targeted_li_be,0.9875907610933126,1.0099258617092075,0.1225515120586665,0.999953598380984,2.6842562474645035,2.494446871075348,0.2472540200467095,5.357034228387387,-0.46734927326386944,0.751340015569831,15.628136913549547,0.7829271622167407,0.751340015569831,3.6945063644050946,2.74719704019866
su2_plus_scanned_rate_controls,6,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34,random_targeted_li_be,0.9877138698627574,1.022083073063074,0.2743019649154951,0.9991897898934916,7.676472137796886,2.507126497955734,0.2476600866709389,5.122271580059807,-0.03012076014710556,0.8866955569796312,14.689086320239227,0.7871362709592579,0.8866955569796312,3.532601089696419,2.626805938492209
su2_plus_scanned_rate_controls,7,random_targeted_li_be|eta0.987172|S1.004789|tau0.9999074|Be7nLi7p+0.87_He3aBe7g-4.00_Li7paa-1.92,random_targeted_li_be,0.9871715745903402,1.00478889318136,0.0589758505723953,0.9999073865394352,20.458949493091215,2.491150481605639,0.2470474806736095,5.00921673431056,-0.5810178756676166,0.6824935578698307,14.23686693724224,0.8033792283791299,0.6824935578698307,3.454632230559007,2.568829094518236
su2_plus_scanned_rate_controls,8,random_targeted_li_be|eta0.990669|S1.043757|tau1.0005040|Be7nLi7p+0.90_He3aBe7g-3.89_Li7paa+0.40,random_targeted_li_be,0.9906689118390832,1.04375704286143,0.5493481249259994,1.0005039827890922,16.129139372969135,2.520138738100138,0.2488914020203249,4.978276840203564,0.4185771758668311,1.2971340067749655,14.113107360814254,1.8577634836887282,1.2971340067749655,3.433294372554182,2.5529624821556736
su2_plus_scanned_rate_controls,9,random_targeted_li_be|eta0.992982|S1.046499|tau1.0005561|Be7nLi7p+4.00_He3aBe7g-2.72,random_targeted_li_be,0.9929821061990456,1.0464993357509866,0.5845595668960023,1.000556125851498,23.3766677539298,2.513748792607462,0.2490516005714861,4.923829974998345,0.19823422784351627,1.350533523828699,13.895319899993378,1.8632376080738784,1.350533523828699,3.395744810343686,2.525041012819664
su2_plus_scanned_rate_controls,10,li_be_combo_ladder|eta1.000000|S1.000000|tau1.0000000|Be7nLi7p+3.00_He3aBe7g-5.00,li_be_combo_ladder,1.0,1.0,0.0,1.0,34.0,2.433741487118608,0.246985845316762,4.877850954957537,-2.560638375220412,0.6619484389206639,13.711403819830146,6.995044624440936,2.560638375220412,3.3640351413500253,2.501462028183352
su2_plus_scanned_rate_controls,11,li_be_combo_ladder|eta1.000000|S1.000000|tau1.0000000|Be7nLi7p+3.00_He3aBe7g-5.00_Li7paa+2.00,li_be_combo_ladder,1.0,1.0,0.0,1.0,38.0,2.4337403698876647,0.2469858453546341,4.860883740285647,-2.5606769004253542,0.6619484515447046,13.643534961142588,6.995241940874432,2.5606769004253542,3.3523336139901017,2.492760892454178
su2_plus_scanned_rate_controls,12,li_be_combo_ladder|eta1.000000|S1.000000|tau1.0000000|Be7nLi7p+3.00_He3aBe7g-5.00_Li7paa+4.00,li_be_combo_ladder,1.0,1.0,0.0,1.0,50.0,2.4337386457708114,0.2469858454113878,4.844958663840179,-2.5607363527306397,0.6619484704625996,13.579834655360717,6.995546445743994,2.5607363527306397,3.3413508026483996,2.484594186584707
