dataset,level,group,component_kind,sigma_add_mag,prior_action,fit_executed,evidence_status,reason
DES_Dovekie_raw,dataset,ALL,all_systematics_covariance_upper_bound,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
DES_Dovekie_raw,survey,IDSURVEY_10,all_systematics_covariance_upper_bound,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
DES_Dovekie_raw,survey,IDSURVEY_150,all_systematics_covariance_upper_bound,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
DES_Dovekie_raw,survey,IDSURVEY_64,all_systematics_covariance_upper_bound,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
DES_Dovekie_raw,survey,IDSURVEY_65,all_systematics_covariance_upper_bound,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
DES_Dovekie_raw,survey,IDSURVEY_OTHER,all_systematics_covariance_upper_bound,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,dataset,ALL,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,dataset,ALL,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,dataset,ALL,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,dataset,ALL,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_1,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_1,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_1,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_1,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_10,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_10,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_10,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_10,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_15,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_15,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_15,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_15,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_150,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_150,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_150,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_150,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_4,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_4,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_4,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_4,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_5,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_5,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_5,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_5,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_50,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_50,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_50,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_50,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_51,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_51,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_51,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_51,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_56,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_56,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_56,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_56,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_57,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_57,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_57,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_57,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_63,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_63,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_63,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_63,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_64,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_64,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_64,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_64,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_65,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_65,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_65,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_65,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_OTHER,CALIB,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_OTHER,CSP_RECAL,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_OTHER,HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
PantheonPlusSH0ES,survey,IDSURVEY_OTHER,CALIB+CSP_RECAL+HSTCALSPEC,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
Union3p1_UNITY1p8,dataset,ALL,documented_zero_point_budget_in_compressed_covariance,0.0,covariance_contained,False,sensitivity_not_independent,release-internal covariance already contained in primary STAT+SYS
